INFO 2024-09-02 06:15:47,301 autoreload Watching for file changes with StatReloader
DEBUG 2024-09-02 06:15:47,301 autoreload Waiting for apps ready_event.
DEBUG 2024-09-02 06:15:47,402 autoreload Main Django thread has terminated before apps are ready.
DEBUG 2024-09-02 06:15:47,515 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-09-02 06:15:47,518 autoreload Watching dir /Users/vrit-prashant/Documents/everts-thrill/templates with glob **/*.
DEBUG 2024-09-02 06:15:47,551 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/contextlib.py first seen with mtime 1722971329.0
DEBUG 2024-09-02 06:15:47,552 autoreload File /Users/vrit-prashant/Documents/everts-thrill/venv/lib/python3.12/site-packages/django/conf/locale/__init__.py first seen with mtime 1722589040.2715251
DEBUG 2024-09-02 06:15:47,552 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/importlib/metadata/_functools.py first seen with mtime 1722971329.0
DEBUG 2024-09-02 06:15:47,552 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/warnings.py first seen with mtime 1722971329.0
DEBUG 2024-09-02 06:15:47,552 autoreload File /Users/vrit-prashant/Documents/everts-thrill/venv/lib/python3.12/site-packages/dotenv/parser.py first seen with mtime 1722589039.2596147
DEBUG 2024-09-02 06:15:47,552 autoreload File /Users/vrit-prashant/Documents/everts-thrill/venv/lib/python3.12/site-packages/drf_yasg/__init__.py first seen with mtime 1722589044.425031
DEBUG 2024-09-02 06:15:47,552 autoreload File /Users/vrit-prashant/Documents/everts-thrill/venv/lib/python3.12/site-packages/django_filters/filterset.py first seen with mtime 1722589044.1708894
DEBUG 2024-09-02 06:15:47,552 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/email/policy.py first seen with mtime 1722971329.0
DEBUG 2024-09-02 06:15:47,552 autoreload File /Users/vrit-prashant/Documents/everts-thrill/venv/lib/python3.12/site-packages/psycopg2/_ipaddress.py first seen with mtime 1722589039.4424894
DEBUG 2024-09-02 06:15:47,552 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/urllib/request.py first seen with mtime 1722971329.0
DEBUG 2024-09-02 06:15:47,552 autoreload File /Users/vrit-prashant/Documents/everts-thrill/venv/lib/python3.12/site-packages/django/views/decorators/cache.py first seen with mtime 1722589041.1609795
DEBUG 2024-09-02 06:15:47,552 autoreload File /Users/vrit-prashant/Documents/everts-thrill/venv/lib/python3.12/site-packages/yaml/tokens.py first seen with mtime 1722589039.2146285
DEBUG 2024-09-02 06:15:47,552 autoreload File /Users/vrit-prashant/Documents/everts-thrill/venv/lib/python3.12/site-packages/django/core/files/storage/filesystem.py first seen with mtime 1722589041.0899384
DEBUG 2024-09-02 06:15:47,552 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/copy.py first seen with mtime 1722971329.0
DEBUG 2024-09-02 06:15:47,552 autoreload File /Users/vrit-prashant/Documents/everts-thrill/venv/lib/python3.12/site-packages/django/db/models/enums.py first seen with mtime 1722589041.1157384
DEBUG 2024-09-02 06:15:47,552 autoreload File /Users/vrit-prashant/Documents/everts-thrill/venv/lib/python3.12/site-packages/django/templatetags/i18n.py first seen with mtime 1722589041.1477854
DEBUG 2024-09-02 06:15:47,552 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/handlers.py first seen with mtime 1722971329.0
DEBUG 2024-09-02 06:15:47,552 autoreload File /Users/vrit-prashant/Documents/everts-thrill/venv/lib/python3.12/site-packages/asgiref/__init__.py first seen with mtime 1722589039.8729806
DEBUG 2024-09-02 06:15:47,552 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/asyncio/protocols.py first seen with mtime 1722971329.0
DEBUG 2024-09-02 06:15:47,552 autoreload File /Users/vrit-prashant/Documents/everts-thrill/venv/lib/python3.12/site-packages/django/core/files/temp.py first seen with mtime 1722589041.0888736
